i,j,dm32_no,precision,bf,log10_bf,sigma,rmse,rmse_sigma,frac_rmse,frac_sigma
3,22,2.238710,0.767742,-209.309008,-2.320788,-2.823185,9.752931,1.679791,0.046596,0.594999
3,23,2.238710,0.793548,-196.974411,-2.294410,-2.803753,8.429373,1.616198,0.042794,0.576441
3,24,2.238710,0.819355,-185.243797,-2.267744,-2.784000,7.259718,1.550300,0.039190,0.556861
3,25,2.238710,0.845161,-174.089091,-2.240772,-2.763907,6.230534,1.482143,0.035789,0.536249
3,26,2.238710,0.870968,-163.486842,-2.213483,-2.743462,5.328942,1.411816,0.032596,0.514611
3,27,2.238710,0.896774,-153.417055,-2.185874,-2.722655,4.542649,1.339466,0.029610,0.491970
3,28,2.238710,0.922581,-143.862206,-2.157947,-2.701482,3.859984,1.265305,0.026831,0.468374
3,29,2.238710,0.948387,-134.806410,-2.129711,-2.679945,3.269942,1.189621,0.024257,0.443898
3,30,2.238710,0.974194,-126.234728,-2.101179,-2.658047,2.762213,1.112784,0.021882,0.418647
3,31,2.238710,1.000000,-118.132629,-2.072370,-2.635796,2.327211,1.035250,0.019700,0.392766
4,0,2.251613,0.200000,-497.415182,-2.696719,-3.089289,166.926299,2.750249,0.335587,0.890253
4,1,2.251613,0.225806,-421.441764,-2.624738,-3.039821,107.809859,2.604891,0.255812,0.856923
4,2,2.251613,0.251613,-374.316336,-2.573239,-3.004015,75.386709,2.481276,0.201398,0.825987
4,3,2.251613,0.277419,-342.389401,-2.534520,-2.976863,56.366108,2.377469,0.164626,0.798649
4,4,2.251613,0.303226,-318.952942,-2.503727,-2.955121,44.388211,2.289813,0.139169,0.774863
4,5,2.251613,0.329032,-300.544665,-2.477909,-2.936793,36.338876,2.214684,0.120910,0.754117
4,6,2.251613,0.354839,-285.243259,-2.455215,-2.920604,30.601494,2.148878,0.107282,0.735765
4,7,2.251613,0.380645,-271.914385,-2.434432,-2.905715,26.286825,2.089667,0.096673,0.719158
4,8,2.251613,0.406452,-259.860487,-2.414740,-2.891550,22.882517,2.034794,0.088057,0.703703
4,9,2.251613,0.432258,-248.645328,-2.395580,-2.877714,20.083541,1.982437,0.080772,0.688893
4,10,2.251613,0.458065,-237.997498,-2.376572,-2.863935,17.704712,1.931167,0.074390,0.674305
4,11,2.251613,0.483871,-227.752052,-2.357462,-2.850027,15.632715,1.879894,0.068639,0.659606
4,12,2.251613,0.509677,-217.812612,-2.338083,-2.835869,13.798114,1.827823,0.063349,0.644537
4,13,2.251613,0.535484,-208.126044,-2.318326,-2.821376,12.158102,1.774389,0.058417,0.628909
4,14,2.251613,0.561290,-198.665678,-2.298123,-2.806495,10.685588,1.719214,0.053787,0.612584
4,15,2.251613,0.587097,-189.420561,-2.277427,-2.791186,9.362360,1.662048,0.049426,0.595463
4,16,2.251613,0.612903,-180.388870,-2.256210,-2.775422,8.174988,1.602740,0.045319,0.577476
4,17,2.251613,0.638710,-171.574047,-2.234452,-2.759183,7.112516,1.541207,0.041454,0.558574
4,18,2.251613,0.664516,-162.982607,-2.212141,-2.742454,6.165257,1.477423,0.037828,0.538723
4,19,2.251613,0.690323,-154.622864,-2.189274,-2.725224,5.324208,1.411414,0.034434,0.517908
4,20,2.251613,0.716129,-146.504137,-2.165850,-2.707487,4.580784,1.343265,0.031267,0.496130
4,21,2.251613,0.741935,-138.636149,-2.141876,-2.689241,3.926724,1.273122,0.028324,0.473413
4,22,2.251613,0.767742,-131.028519,-2.117366,-2.670487,3.354056,1.201207,0.025598,0.449808
4,23,2.251613,0.793548,-123.690275,-2.092336,-2.651232,2.855112,1.127820,0.023083,0.425395
4,24,2.251613,0.819355,-116.629427,-2.066808,-2.631485,2.422542,1.053350,0.020771,0.400287
4,25,2.251613,0.845161,-109.852592,-2.040810,-2.611258,2.049354,0.978275,0.018655,0.374638
4,26,2.251613,0.870968,-103.364713,-2.014372,-2.590568,1.728940,0.903157,0.016727,0.348633
4,27,2.251613,0.896774,-97.168870,-1.987527,-2.569432,1.455113,0.828631,0.014975,0.322496
4,28,2.251613,0.922581,-91.266192,-1.960310,-2.547873,1.222131,0.755384,0.013391,0.296477
4,29,2.251613,0.948387,-85.655856,-1.932757,-2.525910,1.024727,0.684129,0.011963,0.270844
4,30,2.251613,0.974194,-80.335170,-1.904906,-2.503568,0.858109,0.615565,0.010682,0.245875
4,31,2.251613,1.000000,-75.299708,-1.876793,-2.480870,0.717974,0.550347,0.009535,0.221836
5,0,2.264516,0.200000,-181.092369,-2.257900,-2.776680,10.026870,1.691782,0.055369,0.609282
5,1,2.264516,0.225806,-180.424838,-2.256296,-2.775486,9.911939,1.686795,0.054937,0.607748
5,2,2.264516,0.251613,-178.773852,-2.252304,-2.772512,9.762987,1.680238,0.054611,0.606035
5,3,2.264516,0.277419,-176.193493,-2.245990,-2.767803,9.477890,1.667379,0.053793,0.602420
5,4,2.264516,0.303226,-172.836645,-2.237636,-2.761564,9.051082,1.647323,0.052368,0.596518
5,5,2.264516,0.329032,-168.878424,-2.227574,-2.754034,8.513243,1.620539,0.050410,0.588424
5,6,2.264516,0.354839,-164.471961,-2.216092,-2.745422,7.901654,1.587769,0.048043,0.578333
5,7,2.264516,0.380645,-159.735068,-2.203400,-2.735878,7.249208,1.549657,0.045383,0.566421
5,8,2.264516,0.406452,-154.754249,-2.189643,-2.725502,6.582255,1.506703,0.042534,0.552816
5,9,2.264516,0.432258,-149.593592,-2.174913,-2.714360,5.921302,1.459304,0.039583,0.537623
5,10,2.264516,0.458065,-144.302475,-2.159274,-2.702491,5.282004,1.407818,0.036604,0.520933
5,11,2.264516,0.483871,-138.920765,-2.142767,-2.689921,4.675863,1.352596,0.033658,0.502839
5,12,2.264516,0.509677,-133.482115,-2.125423,-2.676663,4.110744,1.293998,0.030796,0.483437
5,13,2.264516,0.535484,-128.016111,-2.107265,-2.662729,3.591374,1.232400,0.028054,0.462833
5,14,2.264516,0.561290,-122.549708,-2.088312,-2.648127,3.119888,1.168203,0.025458,0.441143
5,15,2.264516,0.587097,-117.108107,-2.068587,-2.632864,2.696409,1.101836,0.023025,0.418493
5,16,2.264516,0.612903,-111.715184,-2.048112,-2.616951,2.319578,1.033771,0.020763,0.395029
5,17,2.264516,0.638710,-106.393544,-2.026915,-2.600399,1.987022,0.964527,0.018676,0.370915
5,18,2.264516,0.664516,-101.164343,-2.005027,-2.583225,1.695725,0.894681,0.016762,0.346343
5,19,2.264516,0.690323,-96.047003,-1.982484,-2.565447,1.442305,0.824863,0.015017,0.321528
5,20,2.264516,0.716129,-91.058909,-1.959322,-2.547088,1.223219,0.755752,0.013433,0.296712
5,21,2.264516,0.741935,-86.215179,-1.935584,-2.528170,1.034913,0.688050,0.012004,0.272153
5,22,2.264516,0.767742,-81.528518,-1.911310,-2.508718,0.873922,0.622459,0.010719,0.248118
5,23,2.264516,0.793548,-77.009179,-1.886542,-2.488758,0.736948,0.559644,0.009570,0.224869
5,24,2.264516,0.819355,-72.665007,-1.861325,-2.468318,0.620914,0.500198,0.008545,0.202647
